"server name","server id","idle latency","idle jitter","packet loss","download","upload","download bytes","upload bytes","share url","download server count","download latency","download latency jitter","download latency low","download latency high","upload latency","upload latency jitter","upload latency low","upload latency high","idle latency low","idle latency high"
"Launtel - Brisbane","64079","2.3476","0.68175","0","66229029","5863512","388023992","49638824","https://www.speedtest.net/result/c/78a2531e-71be-4e5c-83f6-c0bd7a422286","1","10.5239","0.670397","2.465","16.261","16.484","28.7326","1.98","419.682","2.131","2.828"
"GSL Networks - Brisbane","48346","2.0194","0.23725","0","66387370","5896859","388658216","45903216","https://www.speedtest.net/result/c/e3b95334-a650-430e-b7bb-6785c13965e5","1","10.3674","4.41203","2.549","232.9","6.56418","19.2186","2.024","341.328","1.956","2.828"
